Resumption of the session	Reinício da sessão
Syrian economic development will need assistance for the transition from a wartime to a peace economy.	O desenvolvimento económico da Síria vai precisar de apoio para fazer a transição de uma economia de guerra para uma economia de paz.
Reconstruction and rehabilitation of southern Lebanon, the only Middle Eastern area with an ongoing military conflict, will also demand considerable efforts.	A reconstrução e a recuperação do Sul do Líbano, a única região do Médio Oriente onde há um conflito militar contínuo, também vai exigir esforços consideráveis.
We also need to continue our support for economic reform and social development in Lebanon as a whole.	É igualmente necessário que prossigamos o nosso apoio à reforma económica e ao desenvolvimento social do Líbano como um todo.
A solution is needed to the Palestinian refugee problem - these are the largest group of refugees in the world, numbering nearly 5 million people - an indication of the enormous challenges ahead.	É necessário encontrar uma solução para o problema dos refugiados palestinianos - trata-se do maior grupo de refugiados do mundo, num total de quase 5 milhões de pessoas, o que indicia os desafios enormes que nos esperam.
We must support initiatives increasing the availability and improving the distribution and management of the region's very scarce water resources.	Temos de apoiar iniciativas que aumentem a disponibilidade e melhorem a distribuição e a gestão dos escassíssimos recursos hídricos da região.
Lastly, but maybe most importantly, we are encouraging closer regional cooperation in a number of areas, bringing all the countries concerned together in a joint endeavour to address their common problems.	Por último, mas talvez mais importante do que tudo o resto, estamos a incentivar uma cooperação regional mais estreita num determinado número de domínios, congregando os esforços de todos os países interessados para tratarem dos seus problemas comuns.
It is already apparent that the financial resources currently available for Community assistance to this part of the world will not be sufficient for the magnitude of support that will be required in the event of permanent peace.	É já bem visível que os recursos financeiros actualmente disponíveis para a ajuda comunitária a esta região do mundo não serão suficientes para a dimensão do apoio necessário, caso haja uma paz permanente.
I want to underline that point.	É um aspecto que quero sublinhar.
I wish insistently to remind the Council and, should it be necessary, Parliament, that we should not continue to allow a gap to develop between our rhetoric and what we are actually capable of doing.	Desejo recordar insistentemente ao Conselho e, se for necessário, ao Parlamento, que não deveremos continuar a permitir que se cave um fosso entre a nossa retórica e aquilo que somos realmente capazes de fazer.
I repeat that a change in the politics of the Middle East will require a gear change in the support that we shall be asked and expected to provide.	Repito: uma modificação na política do Médio Oriente vai exigir um aumento do apoio que nos será solicitado e que se espera que prestemos.
I hope I can add that we will want to provide that.	Espero poder acrescentar que vamos querer prestar esse apoio.
We have made progress in recent months and weeks, as Mr Gama mentioned earlier.	Nestes últimos meses e semanas fizemos progressos, como o senhor Ministro Jaime Gama já referiu.
But it is inevitably going to be a tough process with difficulties and disappointments on the way.	Mas este vai ser inevitavelmente um processo duro, ao longo do qual vão surgir dificuldades e desilusões.
We will do all we can to help the process to a successful conclusion and to meet the obligations and challenges that will be created by that outcome.	Faremos tudo o que estiver ao nosso alcance para contribuir para o êxito final do processo e para cumprirmos as obrigações e respondermos aos desafios que esse resultado final trará consigo.
Lastly, I will repeat for some who have entered the Chamber in the last few minutes, what I said at the outset of my remarks: that I will not be able to stay until the end of the debate, largely as a result of having assumed that the debate was taking place this morning and having fixed a meeting on the Balkans for this evening.	Termino repetindo, para algumas pessoas que entraram no hemiciclo nestes últimos minutos, o que disse no início da minha intervenção: não poderei ficar até ao fim do debate, em grande medida porque parti do princípio de que ele ia ter lugar da manhã e marquei uma reunião sobre os Balcãs para o fim da tarde.
I hope the House will understand that.	Conto com a compreensão da assembleia.
Mr President, Commissioner Patten has our understanding.	Senhor Presidente, o Comissário Patten tem a nossa compreensão.
I would like to tell him that communications with Madrid are usually more fluid and, therefore, I hope to see him there soon.	Gostaria de lhe dizer que as comunicações com Madrid são agora mais fáceis, pelo que espero vê-lo em breve naquela cidade.
The statements we have heard today on the Middle East peace process are very opportune at the moment because of the hurried tour which Minister Gama - whose absence from this debate I also regret - has made of the region, accompanied by other Council representatives.	As declarações que pudemos ouvir ao longo da sessão de hoje sobre o processo de paz no Médio Oriente são da máxima oportunidade, pois surgem no seguimento do périplo que o senhor Ministro Jaime Gama - lamento a sua ausência no debate - efectuou à região, acompanhado de outros representantes do Conselho.
The tone of the news in the media on the recent events in the area could lead us to take a pessimistic view of the situation.	O tom das notícias que foram divulgadas nos meios de comunicação social sobre os últimos acontecimentos na região poderia levar-nos a sustentar uma visão pessimista da situação.
I honestly believe that an evaluation of this type would not be in accordance with the reality of that situation.	Penso, sinceramente, que uma tal aferição não se ajustaria à realidade dos factos.
In this sense, I share Commissioner Patten' s positive attitude.	Pelo contrário, partilho a visão positiva do Comissário Christopher Patten.
Let me explain: it is true that the Israeli Government has delayed the third hand-over of West Bank territory to the Palestinian authorities.	Passo a explicar: é verdade que o Governo israelita protelou a terceira fase da entrega de territórios da Cisjordânia à Autoridade Palestiniana.
It is also true, however, that, since the signing of the Sharm el-Sheikh agreements, 39% of the territory of the West Bank has been handed over to the Palestinian National Authority, together with two thirds of the Gaza Strip and, more importantly, this agreement has so far been scrupulously complied with, since, under the terms laid down in Sharm el-Sheikh, the Israeli Government has the right to delay that handover.	Todavia, há que ter presente que, desde a assinatura dos acordos de Sharm el Sheikh, 39% do território da Cisjordânia e dois terços da Faixa de Gaza foram entregues à Autoridade Palestiniana e - o que é mais importante - o acordo, até à data, está a ser cumprido escrupulosamente, pois inclusivamente o referido adiamento constitui uma prerrogativa do Governo de Israel, prevista em Sharm el Sheikh.
This is naturally on the condition that the delay does not exceed three weeks, as Prime Minister Barak has promised.	Não deverá, obviamente, ultrapassar o prazo limite de três semanas, como prometido pelo Primeiro-Ministro Barak.
On the other hand, the decision to delay the second round of talks, initiated in Shepherdstown by the Syrian Arab Republic, is undoubtedly significant, but I am convinced that the hopes which were raised on 3 January in that town will not be dashed.	Por outro lado, a decisão de adiar a segunda ronda de conversações, iniciada em Shepherdstown pela República Árabe da Síria, adquire, irrefutavelmente, algum significado, mas estou convencido de que não aniquilará a esperança que foi possível alimentar desde o passado dia 3 de Janeiro naquela cidade.
Mr President, the fact that the different groups in this Parliament are tabling a motion for a resolution, in this ever controversial debate, which is the result of a broad consensus, seems to me to demonstrate the clear political will to decisively support open peace processes.	Senhor Presidente, o facto de os diferentes grupos políticos desta assembleia virem para este debate, um debate sempre controverso, com uma proposta de resolução que traduz um amplo consenso, afigura-se-me revelador de uma clara vontade política de apoiar decididamente os processos de paz já iniciados.
I would therefore like, equally firmly, to express our rejection of the use of violence to resolve differences, which are still no doubt profound, between the parties.	Com a mesma veemência, manifesto o nosso repúdio pelo recurso à violência para resolver as divergências, inegavelmente ainda profundas, entre as partes.
In my judgement, this constitutes a guarantee to both sides, both from a political and a financial point of view, of the commitment they can expect from the European Union in terms of its contribution to the cost of the peace which we all long for.	Em meu entender, este consenso constitui uma garantia para ambas as partes, tanto do ponto de vista político como financeiro, do compromisso que podem esperar da União Europeia relativamente à sua contribuição para suportar os custos da paz que todos almejamos.
It is clear to everyone that this is essential to guaranteeing security in the area and to cooperating in the development which is needed to heal the serious social differences which exist.	Ninguém ignora que o mesmo é imprescindível para garantir a segurança na região e desenvolver acções de cooperação para o desenvolvimento susceptíveis de mitigar as graves assimetrias sociais existentes.
But this also serves to make a claim, on the part of the European Union, for a degree of political participation in the process which is consistent with its economic contribution - we do not have aspirations to be bankers - and which will be suitably visible to the public.	Mas serve igualmente de chamada de atenção para reclamar para a União Europeia uma participação política no processo, consentânea com a sua contribuição económica - nós também não temos pretensões a banqueiros -, que tenha a respectiva visibilidade pública.
There is absolutely no doubt that the forthcoming trip by the President of the European Parliament to the region will contribute to this.	Neste contexto, não me resta a menor dúvida que a próxima deslocação que a Presidente do Parlamento Europeu fará à região contribuirá para esse fim.
Mr President, I want to thank Commissioner Patten for his detailed account.	Senhor Presidente, agradeço o minucioso relato do senhor Comissário Patten.
I should like to say that I agree with the tone which Galeote Quecedo' s speech set here.	É com todo o gosto que subscrevo o tom da intervenção do senhor deputado Galeote Quecedo.
We in Parliament strongly support the Middle East peace process.	O Parlamento Europeu apoia firmemente o processo de paz no Médio Oriente.
It is, of course, a peace process which is finally under way.	Finalmente, esse processo de paz está em marcha.
If we think of how the process was looking a year ago, the difference between then and now is like that between night and day, despite difficulties and delays.	Apesar das dificuldades e atrasos, a diferença entre a situação actual e a de há um ano é como entre o dia e a noite.
I want to emphasise four points.	Gostaria de destacar quatro pontos.
First of all, the Sharm el-Sheikh Agreement contains, as everyone knows, a concrete timetable for the implementation of Israel' s commitments. This applies both to the interim agreement and to the Hebron and Wye Agreements.	Em primeiro lugar, o memorando de Sharm el Sheikh contém um calendário concreto e conhecido por todos para a execução dos compromissos de Israel; o que está em questão é o acordo intercalar e os acordos de Hebron e de Wye.
While the negotiations on the final peace settlement have begun, I think it is important to keep the two processes apart.	Ao iniciarem-se as conversações sobre uma solução de paz definitiva, penso que é importante tratá-los separadamente.
A lack of progress in the final status negotiations should not jeopardise implementation of the three above-mentioned interim agreements.	A falta de progressos nas negociações sobre o estatuto final não deve pôr em risco a aplicação dos três acordos intercalares referidos.
What we need to look out for in this context is how matters develop in connection with the harbours in Gaza, the northern transit route between Gaza and the West Bank, further releases of political prisoners and implementation of the financial commitments.	Nestas circunstâncias, temos de estar atentos à situação em Gaza e na faixa de ligação entre Gaza e a Cisjordânia, à libertação de mais prisioneiros por razões de segurança e ao respeito dos compromissos em matéria económica.
The second point relates to Syria.	O segundo ponto é relativo à Síria.
There, the border question is obviously central.	A questão das fronteiras é, naturalmente, a questão central.
How negotiations are proceeding there, we still do not know.	Ainda não sabemos como estão a decorrer as negociações.
What is important, however, is that they have begun.	No entanto, o importante é que elas tenham começado.
An important question in this context is the future distribution of water.	Neste domínio, a futura repartição dos recursos hídricos é uma questão importante.
As things are at present, the Golan Heights account for between a third and a sixth of Israel's water supply.	Os montes Golã asseguram actualmente entre um terço e um sexto dos recursos hídricos de Israel.
The third aspect is the peace negotiations in Syria which are closely linked to the issue of Israeli withdrawal from Southern Lebanon.	O terceiro ponto é relativo às conversações de paz na Síria, que estão intimamente ligadas à questão da retirada israelita do Sul do Líbano.
According to UNIFIL, there are now concrete signs that Israel is preparing to withdraw, which is something we welcome.	De acordo com informações da UNIFIL, existem agora indicações concretas de que Israel está a preparar uma retirada, com o que nos congratulamos.
There too, of course, outstanding matters in dispute are the water problem and the situation of the Lebanese Palestinian refugees.	Também aqui, as questões que continuam a suscitar dúvidas são as relacionadas com os problemas da água e com a situação dos refugiados palestinianos no Líbano.
My last point concerns the future Palestinian State.	O último ponto é relativo ao futuro Estado Palestiniano.
This may be proclaimed in the course of this year, with or without Israel' s support.	Pode vir a ser proclamado já este ano, com o apoio de Israel ou sem ele.
The Barak government has given to understand that it intends to conclude a peace agreement with a state as the other party.	O governo do senhor primeiro-ministro Barak deu a entender que está disposto a concluir um acordo de paz, tendo um Estado como interlocutor.
Even if negotiations are not completed by September of this year, there is nothing in the relevant treaties to prevent a Palestinian state from being proclaimed after that date.	Mesmo que as negociações não estejam concluídas até ao próximo mês de Setembro, não há no tratado qualquer obstáculo à proclamação de um Estado Palestiniano depois dessa data.
In this context, it is important for those of us who support the idea of a Palestinian state that the latter should be as Commissioner Patten said, namely a state subject to public control, and that it should be a democratic state.	Nestas circunstâncias, é importante para nós, que apoiamos a criação desse Estado, que ele seja, como disse o senhor Comissário Patten, um Estado com uma administração transparente, um Estado democrático.
This is something to which we all want to contribute.	Todos desejamos contribuir para isso.
Mr President, I would like to refer, firstly and above all, to the joint resolution which will be laid down to round off this debate. My Group has made a contribution to this resolution and, needless to say, approves of it.	Senhor Presidente, em primeiro lugar e acima de tudo, gostaria de remeter para a resolução que será apresentada no final do presente debate, para a qual o meu grupo contribuiu, e que merece, naturalmente, o nosso apoio.
More specifically, however, I would like to express our delight at the fact that, after such a long time, Israel and Syria are on speaking terms again to resolve their differences of opinion.	Porém, mais especificamente, gostaria de expressar aqui a nossa alegria pelo facto de, passado tanto tempo, Israel e a Síria retomarem agora o diálogo no sentido de resolverem os seus diferendos.
The recent negotiations are already an important step towards a permanent peace in the Middle East.	As recentes negociações representam já um passo importante no caminho para uma paz duradoura no Médio Oriente.
It is, therefore, regrettable that these peace talks have been suspended for the time being.	Por isso mesmo, é lamentável que estas conversações de paz tenham, por enquanto, sido suspensas.
Indeed, both parties will need to make huge efforts.	Ambas as partes terão realmente de envidar grandes esforços.
Lasting peace in the region can only be achieved by means of an agreement which guarantees the security of the Israeli borders, as well as Syria' s integrity.	Uma paz duradoura naquela região só poderá ser alcançada por via de um acordo em que a segurança das fronteiras israelitas e a integridade da Síria sejam asseguradas.
It is also necessary to initiate permanent diplomatic relations and to establish constant dialogue.	Neste contexto, é necessário o início de relações diplomáticas permanentes e de um diálogo constante.
In addition to the bilateral meetings with Syria, I hope that Israel will also enter into negotiations with Lebanon within the foreseeable future and that, in the framework of economic and regional cooperation, a multilateral approach will appear possible.	A par dos encontros bilaterais com a Síria, espero que Israel encete também brevemente negociações com o Líbano e que, no quadro da cooperação regional e económica, se venha a revelar possível uma abordagem multilateral.
Nevertheless, it is still regrettable that the European Union, one of the most important financial donors, is still unable to play a major political role in the peace process.	No entanto, continua a ser lamentável que a União Europeia - um dos mais importantes dadores financeiros - não consiga ainda desempenhar um papel político relevante no processo de paz.
This peace process in the Middle East is one of the priorities of the European Union' s common foreign and security policy.	Este processo de paz no Médio Oriente constitui uma das prioridades da política externa e de segurança comum da União Europeia.
This is where Mr Solana, the High Representative to the Council, could come into his own.	Neste contexto, há um papel especial destinado ao senhor Javier Solana, o Alto Representante para a PESC junto do Conselho.
The Commission and Member States also have to be encouraged to support projects which can help develop understanding and partnership between the different nations in the region.	Também a Comissão e os Estados-Membros deverão ser encorajados a apoiar projectos que possam contribuir para o estabelecimento de uma plataforma de entendimento e de uma parceria entre os diversos povos daquela região.
I should also draw your attention to the significance of the Barcelona process which should have a beneficial impact on regional cooperation.	Devo também chamar a atenção para a importância do processo de Barcelona, que tem de poder influir positivamente sobre a cooperação regional.
In this respect, we support Libya' s participation, provided that it recognises human rights, renounces support for terrorists and fully supports the peace process.	Neste contexto, a participação da Líbia merece o nosso apoio, desde que este país reconheça os direitos humanos, deixe de patrocinar os terroristas e dê o seu inteiro apoio ao processo de paz.
There are still, needless to say, many unresolved problems and unanswered questions, also involving the Palestinians.	Como é óbvio, continuarão a existir problemas por resolver e perguntas por responder, inclusivamente em relação aos Palestinianos.
Everyone knows that the peace process is a protracted and difficult affair but we are convinced that, with the necessary trust, perseverance and indispensable political will, our common goal, namely a peaceful and prosperous Middle East, will be achieved.	Todos sabemos que o processo de paz é um processo árduo e demorado, mas estamos convencidos de que, com a necessária confiança, a indispensável vontade política e a essencial perseverança, conseguiremos alcançar o nosso objectivo comum, a saber, de um Médio Oriente pacífico e próspero.
Mr President, it is pleasing that, despite certain delays and problems, the peace negotiations are going on both between Israel and Palestine and between Israel and Syria.	Senhor Presidente, é com satisfação que vemos que, apesar de alguns problemas e adiamentos, as negociações de paz prosseguem, tanto entre Israel e a Palestina como entre Israel e a Síria.
The moment of truth is approaching.	Aproxima-se a hora da verdade.
Is Israel prepared to comply with the UN' s resolutions and, in exchange for peace and security, hand back the Arab areas which were conquered in 1967?	Está Israel disposta a respeitar as resoluções da ONU e a devolver os territórios árabes conquistados em 1967, a troco de paz e segurança?
Will Israel let Palestinian refugees return or be given compensation?	Irá Israel permitir que os refugiados palestinianos regressem ou recebam compensações?
Will Israel share Jerusalem and the water of the River Jordan?	Irá Israel repartir o controlo de Jerusalém e a água do rio Jordão?
Will a free Palestine be a truly democratic state and, therefore, reliable as a partner in peace?	Será que a Palestina livre se vai tornar um Estado plenamente democrático e, desse modo, um parceiro fiável na paz?
Will Syria fully accept Israel' s existence and introduce democracy and the rule of law?	Virá a Síria a reconhecer plenamente a existência do Estado de Israel e a tornar-se uma democracia e um Estado de direito?
The fact that the main responsibility for the peace process lies with the occupying country, Israel, does not prevent the Arab partners from also having a considerable share of the responsibility.	O facto de a principal responsabilidade do processo de paz recair sobre Israel, enquanto ocupante, não significa que os parceiros árabes não tenham também uma grande co-responsabilidade.
Peace in the Middle East concerns us all, however.	De resto, a paz no Médio Oriente interessa-nos a todos.
It is therefore good that the EU should act as a godparent to the Palestinian state.	Por isso, é positivo que a UE apadrinhe o Estado palestiniano.
Against this background, I want to conclude with a remarkable story from Sweden where an international Intergovernmental Conference on Hitler' s extermination of the Jews is being held, which is obviously a welcome initiative.	Neste contexto, gostaria de terminar referindo um estranho caso que tem lugar num Estado-Membro da UE, a Suécia. Está aí a decorrer uma Conferência Intergovernamental sobre o extermínio dos judeus por Hitler, o que, evidentemente, é uma iniciativa positiva.
Of 47 states invited from all corners of the world, not one of them, however, is an Arab state included in the EU' s Barcelona process.	Acontece, porém, que entre os quarenta e sete Estados convidados, de todas as partes do mundo, não se conta um único dos Estados árabes participantes no processo de Barcelona da União Europeia.
This has been interpreted as indicating that the Arab attitude towards Israel should be regarded by Europeans as being similar to the Nazis' anti-Semitism, which of course is completely incorrect.	Isso foi interpretado como se os europeus considerassem a posição dos árabes em relação a Israel como sendo equivalente ao anti-semitismo nazi, o que é completamente errado.
The Arab world' s criticism of Israel has been founded upon the same sort of anti-colonialism as, for example, Algeria' s fight for freedom against France.	A política do mundo árabe em relação a Israel assentou no mesmo tipo de anticolonialismo que norteou, por exemplo, a luta de libertação da Argélia contra a França.
But today, Egypt, Jordan and Palestine have peace treaties with Israel.	Hoje, porém, o Egipto, a Jordânia e a Palestina têm tratados de paz com Israel.
I therefore wonder whether Commissioner Patten does not agree with me that it would have been only right and proper to have invited at least one Arab state to the holocaust conference in Stockholm.	Gostaria, pois, de saber se o senhor Comissário Patten concorda comigo em que teria sido correcto convidar, pelo menos, algum Estado árabe a participar na conferência de Estocolmo sobre o Holocausto.
Mr President, I would like to thank Commissioner Patten very much for the awareness he has demonstrated of the difficulties inherent in the peace process and the challenge that the European Union is taking on to bring it to completion.	Senhor Presidente, agradeço muito ao senhor Comissário Patten o conhecimento que demonstrou ter das dificuldades do processo de paz e do desafio assumido pela União Europeia para que esse processo de paz se concretize.
It is high time there was peace in the Middle East.	
It is time to end the era which began with the Balfour declaration in 1917 and the Arab-Israeli war of 1948. It is time there were secure borders and political, social and economic rights in every country in this region, and that human rights were recognised and upheld in Syria, Palestine, Israel and everywhere else.	No Médio Oriente, já é mesmo tempo de paz; já é tempo de encerrar a fase histórica iniciada com a Declaração de Balfour de 1917 e com a guerra israelo-árabe de 1948; já é tempo de haver fronteiras seguras para todos os países dessa região, direitos políticos, sociais e económicos, direitos humanos reconhecidos e praticados na Síria, na Palestina e em Israel, em toda a parte.
This is an exercise in sovereignty, and in democracy for each population and every individual, but to this end it is vital for all parties in the conflict to have the courage to strive for peace and rights, and to recognise the other as its partner and not as its subject to whom concessions must be given.	É também uma experiência prática de soberania, de democracia de todos os povos e indivíduos, mas para isso é indispensável que todas as partes em conflito tenham a coragem da paz e dos direitos, que reconheçam o outro como parceiro e não como um súbdito a quem é necessário fazer concessões.
I refer principally to the Palestine-Israel question, but the same also applies to the territories which have been occupied in the Golan since 1967 and in southern Lebanon since 1982.	Refiro-me principalmente ao núcleo Palestina-Israel, mas isto aplica-se igualmente aos territórios ocupados nos montes Golã desde 1967 e na faixa Sul do Líbano a partir de 1982.
Israel has to accept its responsibilities, withdraw from the occupied territories and share its water resources but, at the same time, it has to be sure that it will be safe and able to live in peace in terms of economic and political relations with all the countries in the area.	Israel deve assumir as suas responsabilidades, retirar-se dos territórios ocupados e partilhar os recursos hídricos mas, ao mesmo tempo, deve ter a certeza da sua segurança e poder viver pacificamente no intercâmbio económico e político com todos os países da região.
However, Israel is not the only country concerned with security.	Contudo, a segurança não diz respeito apenas a Israel.
The same goes for the other countries, especially for the Palestinians, who are still living under military occupation and whose land even today is still confiscated in areas B and C, despite the Oslo Agreement and subsequent agreements. Between the period when the Oslo Agreement was signed and 17 October 1999, 174 000 dunams of land were confiscated, 8 462 of which have been taken under Mr Barak' s Government.	O mesmo se aplica aos outros países, a começar pelos Palestinianos, que continuam a viver sob ocupação militar e que ainda hoje, apesar dos acordos assinados a partir de Oslo, vêem a sua terra confiscada nas zonas B e C. Depois de Oslo e até 17 de Outubro de 1999, foram confiscados 174 000 dunans de terra, dos quais 8 462 sob o novo Governo Barak: as árvores foram arrancadas, mais casas foram demolidas e, sobretudo em Jerusalém Oriental, o uso da água é reduzido ou negado, ao mesmo tempo que as pessoas continuam a fixar-se cada vez em maior número.
Trees have been uprooted, houses are still being demolished and, above all, water supplies have been reduced or refused, especially in East Jerusalem, while the settlements continue and are growing constantly.	No entanto, não restam quaisquer dúvidas de que, com as eleições do novo governo, foram dados alguns passos positivos, pelo menos as negociações foram retomadas.
Nevertheless, there is no doubt that with the election of the new government, positive steps have been taken: negotiations, at least, have resumed. But in the Middle East, there can be no stable and lasting peace if the Palestinians do not have their own state, if they cannot move freely within their own territory.	Mas, no Médio Oriente, não poderá haver uma paz estável e duradoura se os Palestinianos não tiverem o seu Estado, se não puderem movimentar-se livremente no interior do seu território.
All the international community has to do is implement Resolutions 332, 248, 245 and 194.	A comunidade internacional tem muito simplesmente de respeitar as resoluções 332, 248, 245 e 194.
We are concerned by the deferment of the building of relations with Syria, as well as Mr Barak' s decision to postpone the withdrawal of the Israeli army and the Sharm el­-Sheikh agreements.	Consideramos preocupante o adiamento das relações com a Síria, bem como a decisão de Barak de adiar a retirada do exército israelita e os acordos de Sharm el Sheikh.
We feel it is extremely important for the European Union to play a political role in negotiations which matches its economic aid.	Consideramos extremamente importante que a União Europeia desempenhe um papel político nas negociações equivalente ao seu papel nas ajudas económicas.
We cannot be content with a role backstage. We must be leading protagonists while staying off a collision course with the United States, as Minister Gama said.	Não podemos contentar-nos em permanecer nos bastidores; devemos, isso sim, ser protagonistas na primeira pessoa, sem com isso entrarmos em rota de colisão com os Estados Unidos, como disse o senhor Ministro Gama.
Mr President, firstly my thanks and appreciation to Commissioner Patten for his comments here today, particularly in relation to the role of the European Union in the peace process, and for reaffirming that our role is not only that of "banker" for the entire operation.	Senhor Presidente, em primeiro lugar, quero manifestar ao senhor Comissário Patten a minha gratidão e o meu apreço pelas observações que aqui fez hoje, especialmente no que se refere ao papel da União Europeia no processo de paz, e por reafirmar que o nosso papel não é apenas o de "banqueiro" de toda a operação.
I was deeply disappointed at the news this week that the peace talks between Israel and Syria had been suspended.	Fiquei profundamente desapontado com as notícias esta semana vindas a público acerca da suspensão das conversações de paz entre Israel e a Síria.
I very much hope that a compromise can be reached to overcome this so that the peace negotiations can be resumed at a very early date.	Espero muito sinceramente que seja possível chegar a um compromisso para ultrapassar esta situação, a fim de que as negociações de paz possam ser retomadas muito em breve.
Nevertheless, we cannot deny that some positive political progress has been made in the Middle East of late.	Ainda assim, não podemos negar que, ultimamente, se registaram alguns progressos políticos positivos no Médio Oriente.
The fact that the Syrian Foreign Minister and the Israeli Prime Minister were recently sitting around the same table in America for the first time in their respective histories is an indication that old hatreds and animosities can be overcome.	O facto de o Ministro dos Negócios Estrangeiros sírio e o Primeiro-Ministro israelita terem estado recentemente sentados à mesma mesa, na América, pela primeira vez na história de cada um deles, é uma indicação de que é possível ultrapassar velhos ódios e animosidades.
Political leaders must show real courage to put in place a framework which can lead to an overall peace settlement within the Middle East.	Os dirigentes políticos têm de demonstrar que possuem verdadeiramente coragem para estabelecer um quadro que possa conduzir a um acordo de paz global no Médio Oriente.
I know that if agreement can be reached between Syria and Israel, the Israeli Prime Minister will still face real opposition to any new agreement with Syria in any future referendum.	Eu sei que, se se conseguir chegar a um acordo entre a Síria e Israel, o Primeiro-Ministro israelita continuará a enfrentar uma verdadeira oposição a qualquer novo acordo com a Síria em qualquer referendo futuro.
The settlers at the Golan Heights will demand to be compensated and there will have to be guarantees of security.	Os colonos dos Montes Golã vão exigir indemnizações e terá de haver garantias de segurança.
If Syria would be willing to offer concessions on the security question then the prospects of a successful resolution to the Israel/Syria question might be promising.	Se a Síria estivesse na disposição de fazer concessões no que respeita à questão da segurança, talvez fossem promissoras as perspectivas de uma resolução coroada de êxito para a questão israelo-síria.
On the issue of Palestine, I recognise that there are still some difficulties with regard to the implementation of some aspects of the Wye Agreement.	No que diz respeito à questão da Palestina, reconheço que ainda há certas dificuldades relativamente à implementação de alguns aspectos do Acordo de Wye.
The key problem areas at the moment include the difficulties of redeployment, as well as the transfer of territories.	Neste momento, entre as principais áreas problemáticas, contam-se as dificuldades de redistribuição e também a transferência de territórios.
The low level of releases of Palestinian prisoners and the fact that the Israeli Government appears to intend halting implementation of building permits already granted, as well as not approving new ones, pose further obstacles.	O reduzido número de presos palestinianos libertados e o facto de o Governo israelita ter, ao que parece, a intenção de interromper a execução de licenças de construção já concedidas, para além de não aprovar licenças novas, vem levantar mais obstáculos.
These issues have clearly been holding up progress on the permanent status negotiations, although, I believe, these talks will not be held up indefinitely.	Estas questões têm estado, sem dúvida, a impedir o progresso das negociações sobre o estatuto permanente, muito embora eu esteja convencido de que estas conversações não vão ficar interrompidas indefinidamente.
At present, the main difficulty in approaching the negotiations seems to be that the Palestinians are insisting that the border issue must be agreed upon first, while the Israeli Government says that it should be settled only if a solution is reached on the issue of settlements and security.	Neste momento, a principal dificuldade na abordagem das negociações parece ser o facto de os Palestinianos insistirem em que primeiro terá de se chegar a acordo sobre a questão das fronteiras, enquanto o Governo de Israel afirma que essa questão só deverá ficar resolvida se se encontrar uma solução para a questão dos colonatos e da segurança.
Currently, both sides seem to have accepted that nothing will be agreed until everything is agreed.	Actualmente, ambas as partes parecem ter aceite o facto de que nada estará acordado enquanto não estiver tudo acordado.
In conclusion, while other countries in the Middle East have had reservations about the overall direction of the peace process, now that the Syrian Government has been brought into the peace process, Egypt and other countries in the region are willing to move forward.	Concluindo: muito embora outros países do Médio Oriente tenham tido reservas sobre a orientação global do processo de paz, agora que o Governo sírio foi incluído nesse processo de paz, o Egipto e outros países da região estão dispostos a avançar.
I sincerely hope that, in the interests of improving the safety and quality of life of the people living in the Middle East, all the key protagonists will move forward quickly, in the very near future, so as to reach an overall agreement on all the key matters which need to be resolved.	No interesse de uma maior segurança e de uma melhor qualidade de vida para as pessoas que vivem no Médio Oriente, espero sinceramente que todos os principais protagonistas avancem rapidamente, num futuro muito próximo, para se chegar a um acordo global sobre todas as questões fundamentais que precisam de ser resolvidas.
Mr President, the various motions for resolutions tabled in Parliament more or less represent the situation in the Middle East.	Senhor Presidente, caros colegas, as diversas propostas de resolução apresentadas a este Parlamento dão-nos uma imagem mais ou menos real da situação do Médio Oriente.
There are those who are in favour of new agreements between Israel and Syria, but only a few focus on the real problem at the heart of the Middle East issue.	Há quem aplauda o estabelecimento de novos acordos entre Israel e a Síria, mas só algumas vozes chamam a atenção para o problema real e fulcral da questão do Médio Oriente.
Indeed, the time has come to resolve a central problem for global stability.	Na verdade, caros colegas, chegou o momento de resolver uma questão essencial para os equilíbrios mundiais.
The time has come for Israel to fulfil its promises of old and definitively withdraw from the occupied territories, at last recognising once and for all the authority of Palestine, whose resumed diplomatic activity will have a secure future while it is under the wise leadership of Yasser Arafat.	Chegou a altura de Israel respeitar os compromissos antigos, retirando-se definitivamente dos territórios ocupados e reconhecendo finalmente, e de uma vez por todas, a Autoridade Palestiniana, cuja reconquistada acção diplomática terá um futuro certo enquanto estiver nas mãos sábias de Yasser Arafat.
It is equally important not to lose sight of the Iraq question, which no one discusses anymore, thereby relegating the problems of millions of women, elderly people and children, the victims of an embargo as arrogant as it is wicked, to oblivion.	Também é importante não perder de vista a questão iraquiana, de que já ninguém fala, votando ao esquecimento os problemas de milhões de mulheres, velhos e crianças, vítimas de um embargo tão arrogante quanto infame.
